Genus,Species,Notes,CURRENTLY.IN.DATASET,USE.FOR.EVO.RATES,Total.FibersL,Total.FibersR,Carapace.Width.mm,NFibers.X,NFibers.Y,ICS.placement,Function,Locality,Sex,ID,Folder,Suborder,Infraorder,Superfamily,Family (one for each),Figure,InPhylogeny
Pahoroides,sp.,,,X,,,,,,,,New Zealand,female,CASENT9062579,20190430_102115_Pahoroides_CASENT9062579_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Araneoidea,Physoglenidae,Pah,Physoglenes
Palpimanidae,,,,,,,,,,,,,,CASENT9042387,,,,,,,Palpimanus
Palpimanus,sp,,X,,78,,2.246,5,20,3,,,,CASENT9042387,CT1900014_Palpimanus_sp_F_CASENT9042387_carapace_redo_IKI_diamond,Opisthothelae,Araneomorphae,Palpimanoidea,Palpimanidae,Pal,Palpimanus
Pararchaea,alba,,X,X,NA,,0.4684,3,6,3,,New Zealand,female,CASENT9034335,Pararchaea_alba_CASENT9034320_F_IKI,Opisthothelae,Araneomorphae,Araneoidea,Malkaridae,P_alb,Exact Match
Paravulsor,pulcher,,,,,,,,,,,,,,Paravulsor_pulcher_F_USNMENT01458361_75EtOH_IKI_scan 3,Opisthothelae,Araneomorphae,RTA Clade,Xenoctenidae,P_pul,Odo
Patu,jidanweishi,,,X,,,,,,,,China,female,CASENT9029296,20190425_201742_Symphyt_Patu_CASENT9029296_F_10X_20keV_z80,Opisthothelae,Araneomorphae,Araneoidea,Symphytognathidae,P_jid,Patu144083
Periegops,sp.,,X,,35,32,2.542,4,12,2,,,Female,CASENT9042618,Periegops_F_CASENT9042618_75EtOH_IKI,Opisthothelae,Araneomorphae,Synspermiata,Periegopidae,Per,Exact Match
Phonognatha,graeffei,,,X,,,,,,,,Australia,female,USNMENT01580564,phonognatha micro ct,Opisthothelae,Araneomorphae,Araneoidea,Araneidae,P_gra,Exact Match
Phrurotimpus,sp.,,X,,6,7,0.9636,2,6,2,,,,USNMENT01458818,20190426_075454_Phrurotimpus_USNMENT01458818_F_4X_20KeV_z80,Opisthothelae,Araneomorphae,RTA Clade,Phrurolithidae,Phr,Trachelas
Pimoa,laurae,,X,X,6,6,2.187,2,5,2,,United States of America,female,USNMENT01539499,Pimoa_laurae_USNMENT01539499_F_IKI,Opisthothelae,Araneomorphae,Araneoidea,Pimoidae,P_lau,Exact Match
Plato,bruneti,,X,,11,9,1.122,3,6,2,,,,USNMENT01458823,20190502_100604_Plato_USNMENT01458823_F_10X_20KV_z75,Opisthothelae,Araneomorphae,Araneoidea,Theridiosomatidae,P_bru,Epeirotypuschavarria144611
Platyoides,venturus,,X,X,45,,1.958,3,18,0,,Madagascar,female,CASENT9012020,20190430_200606_Platyoides_CASENT9012020_F_20kV_4X_z70_top and 20190430_202754_Platyoides_CASENT9012020_F_20kV_4X_z70_bottom,Opisthothelae,Araneomorphae,RTA Clade,Trochanteriidae,P_ven,Molycria
Plectreurys,sp.,,X,X,5,6,3.336,1,5,1,,United States of America,female,USNMENT01539332,Plectreurys_sp_USNMENT01539302_F_IKI or Plectreurys_sp_USNMENT01539332_IKI_F,Opisthothelae,Araneomorphae,Synspermiata,Plectreuridae,Ple,Plectreurys140894
Salticus,sp.,no ic muscle to be seen,,X,,,,,,,,United States of America,male,CASENT9034621,salticus_all,Opisthothelae,Araneomorphae,RTA Clade,Salticidae,Sal,no
Schizocosa,ocreata,,X,,19,17,3.21,2,12,2,,,,USNMENT01377532,Schizocosa_F_USNMENT01377532_75EtOH_IKI,Opisthothelae,Araneomorphae,RTA Clade,Lycosidae,S_ocr,Exact Match
Scytodes,socialis,,X,X,NA,NA,1.77,6,35,3,,Madagascar,female,CASENT9034622,scytodes__CASENT9034622_F_top_and_bottom,Opisthothelae,Araneomorphae,Synspermiata,Scytodidae,S_soc,Exact Match
Sphodros,sp.,,X,,66,NA,3.829,6,21,2,,,,CASENT9034620,Sphodros_sp_CASENT9034620,Mygalomorphae,,Mygalomorphae,Atypidae,Sph,Exact Match
Stegodyphus,sp.,,X,X,46,40,2.976,4,19,2,,Madagascar,female,CASENT9000948,Stegodyphus_sp_CASENT9000948,Opisthothelae,Araneomorphae,Eresidae,Eresidae,Ste,Exact Match
Symphytognathid,sp.,,,,,,,,,,,,,,20190502_132503_Symphytognathid_CASENT9065656_F_10X_20KV_z75,Opisthothelae,Araneomorphae,Araneoidea,Symphytognathidae,Sym,AnapistulaGH2596
Synaphris,schlingeri,,,X,,,,,,,,Madagascar,female,CASENT9000318,20190426_013214_Synaphris_CASENT9000318_F_10X_20KeV_z80,Opisthothelae,Araneomorphae,Araneoidea,Synaphridae,S_sch,no
Synotaxus,sp.,,,X,,,,,,,,Peru,female,CASENT9021337,20190430_144725_Synotaxus_CASENT9021337_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Araneoidea,Synotaxidae,Syn,Exact Match
Usofila,sp.,,X,X,1,1,0.5237,1,1,2,,,,CASENT9082407,20190425_190951_Tellemidae_CASENT9082407_F_10X_20keV_z80,Opisthothelae,Araneomorphae,Synspermiata,Tellemidae,Tel,Telema
Tetrablemma,sp.,No ICS? Looks like ICM attaches to anterior part of base?,,,,,,,,,,,,CASENT9012054,20190425_172233_Tetrablemma_CASENT9012054_F_10X_20keV_z80_c,Opisthothelae,Araneomorphae,Synspermiata,Tetrablemmidae,Tet,Singaporemma
Tetragnatha,versicolor,,,,,,,,,,,,,,Tetragnatha_versicolor_F_CASENT9081591_75etoh_IKI_2,Opisthothelae,Araneomorphae,Araneoidea,Tetragnathidae,T_ver,Exact Match
Thelechoris,rutenbergi,,X,,24,,5.696,3,11,2,,,,CASENT9016723,CT1900014_Dipluridae_sp_F_CASENT9016723_IKI_diamond,Mygalomorphae,,Mygalomorphae,Ischnothelidae,T_rut,"Microhexura montivaga (this is a different family, one node up)"
Theridiosoma,gemmosum,,X,X,6,5,0.7575,2,6,2,,United States of America,female,USNMENT01458819,20190426_010305_Theridiosoma_USNMENT01458819_F_10X_20KeV_z80,Opisthothelae,Araneomorphae,Araneoidea,Theridiosomatidae,T_gem,Exact Match
Tigrosa,georgicola,,,,,,,,,,,,,,Tigrosa_georgicola_F_USNMENT01458298_Bouin's_75EtOH_IKI,Opisthothelae,Araneomorphae,RTA Clade,Lycosidae,T_geo,Tigrosa
Trachelas,tranquillus,,X,,25,,2.547,3,13,2,,,,USNMENT01458438,CT1900014_Trachelas_tranquillus_F_USNMENT01458438_IKI_diamond,Opisthothelae,Araneomorphae,RTA Clade,Trachelidae,T_tra,Sergiolus
Uloborus,sp.,,X,X,4,3,1.156,2,3,2,,United States of America,female,CASENT9082407,20190430_215645_Uloborus_CASENT9012472_F_20kV_4X_z70,Opisthothelae,Araneomorphae,UDOH grade,Uloboridae,Ulo,Exact Match
Xenoctenus,marmoratus,,,,,,,,,,,,,,Xenoctenus_marmoratus_F_USNMENT01458297_75EtOH_IKI,Opisthothelae,Araneomorphae,RTA Clade,Xenoctenidae,X_mar,no
Xysticus,elegans,,X,,27,25,4.175,4,13,2,,,,USNMENT00880250,Xysticus_elegans_USNMENT00880250_F_IKI,Opisthothelae,Araneomorphae,RTA Clade,Thomisidae,X_ele,Xysticus
